,stn,avg_temp,lat,lon
185,287970,18.454358974358975,54.2,72.967
186,289090,42.32396694214876,52.817,52.217
187,295570,37.45922865013775,55.75,88.317
188,296250,36.00606060606061,55.1,80.967
189,298130,37.086776859504134,53.967,79.233
190,298220,36.93333333333333,53.817,81.267
191,298460,69.2,53.733,87.183
192,299230,37.32203856749312,53.067,82.3
193,306360,19.943272727272724,53.617,109.633
194,306500,14.463385826771654,53.2,112.783
195,306860,28.193939393939388,53.467,122.4
196,307390,20.28576779026217,52.167,109.783
197,307450,19.313090909090906,52.533,111.55
198,308220,28.35236363636363,51.717,105.85
199,308290,22.2309963099631,51.1,106.65
200,309610,32.879614325068864,50.95,115.583
201,309710,27.657851239669416,50.917,117.933
202,309780,32.68898071625345,49.833,118.383
203,315130,34.62617079889807,50.917,128.467
204,319130,32.5,45.217,131.983
205,319390,37.027499999999996,44.15,133.867
206,321280,41.31845730027549,47.05,142.05
207,323890,22.109952606635073,56.317,160.833
208,324770,25.10925110132159,54.3,155.933
209,337175,63.18641975308641,47.867,28.217
210,340560,42.578805970149254,52.25,43.783
211,340720,34.82007575757575,52.333,46.367
212,340830,44.09462686567165,52.5,48.083
213,340980,42.31025641025641,52.033,48.833
214,341520,43.79079754601227,51.55,43.15
215,341630,43.77321937321937,51.633,45.45
216,341720,39.38156028368793,51.565,46.047
217,341860,42.10354838709677,51.367,48.3
218,341990,41.75145631067961,51.2,49.733
219,342400,31.953179190751445,50.8,42.0
220,342530,29.90419161676647,50.95,43.733
221,342540,32.25204678362574,50.533,42.683
222,342620,33.12373737373738,50.833,44.567
223,342670,30.704191616766476,50.367,44.117
224,342730,43.07112676056338,50.95,46.967
225,343440,33.798113207547175,49.8,41.15
226,343560,31.713772455089824,49.8,43.667
227,343570,32.88012048192772,49.567,42.75
228,343630,30.182634730538926,50.067,45.367
229,343730,30.04311377245509,50.05,46.883
230,343910,44.5490506329114,50.15,48.55
231,344380,34.69263803680982,48.933,40.383
232,344450,34.81867469879518,49.217,41.833
233,344610,32.85963855421686,49.3,44.0
234,345350,36.07421383647799,48.3,40.3
235,345450,37.50289017341041,48.35,41.867
236,345550,34.31437125748503,48.333,43.117
237,346440,36.06477987421384,47.583,41.1
238,346460,36.082278481012665,47.633,42.117
239,346550,35.5005988023952,47.633,43.15
240,347200,44.84067796610169,47.2,38.9
241,347310,52.66749311294767,47.25,39.817
242,347400,37.39811320754717,46.517,41.35
243,347430,36.67499999999999,47.15,42.483
244,347720,54.90588235294118,47.133,46.317
245,347850,34.011250000000004,46.917,47.933
246,348380,40.208536585365856,45.85,40.083
247,348660,55.544444444444444,46.183,45.35
248,348680,35.83962264150942,45.8,44.633
249,348800,35.722292993630575,46.283,47.983
250,348870,36.859748427672955,45.8,47.217
251,349270,50.42102272727272,45.05,39.033
252,349540,38.182278481012666,45.35,42.85
253,349580,37.283125,45.1,43.45
254,349840,37.130379746835445,45.4,47.35
255,350010,24.231395348837204,52.383,50.467
256,350070,41.393929712460064,51.867,50.333
257,353944,57.5,66.067,76.517
258,354750,45.2179211469534,49.017,68.667
259,360200,38.57731092436975,52.483,80.167
260,370180,48.207096774193545,44.1,39.033
261,370210,40.86583850931677,44.617,40.083
262,370310,39.1246835443038,44.983,41.117
263,370610,37.75625,44.783,44.133
264,371260,31.344888888888885,43.733,42.667
265,371440,37.87888198757764,43.75,44.05
266,371630,42.56982248520711,43.833,46.717
267,371930,34.22875,43.45,41.733
268,372180,55.024596774193554,43.15,44.85
269,372280,51.3818731117825,43.033,44.683
270,372350,38.50179640718564,43.25,45.717
271,372440,39.961783439490446,43.35,46.117
272,374320,23.9625,42.35,44.7
273,376610,44.11190476190476,41.217,47.167
274,377290,36.33333333333334,40.683,45.817
275,377400,42.19047619047619,40.983,47.867
276,378320,47.62222222222222,40.367,47.117
277,378510,46.458730158730155,40.417,49.783
278,379050,46.411904761904765,39.767,47.75
279,379230,46.71428571428571,39.967,49.4
280,379250,47.26190476190476,39.4,49.25
281,379890,47.336507936507935,38.45,48.883
282,383410,52.78319559228651,42.85,71.3
283,384750,56.4935135135135,40.733,72.333
284,401761,72.3825484764543,32.981,35.572
285,401762,71.88264462809917,32.117,34.783
286,401980,64.79620253164558,29.94,34.936
